GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,84,2,9,1,20,2,7,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,27,284,4,13,9,70,5,12,1,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,78,0,6,0,29,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,16,46,4,4,5,14,7,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,15,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,0,54,1,3,0,18,1,5,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,160,120,5,1,38,28,5,4,2,4
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,0,107,0,4,0,29,0,6,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,5,55,3,3,1,25,3,6,0,6
